"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"2637","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268838","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","04-Apr-2026","GMS SEHZADI","Payment Success","100000"
"2638","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268839","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS TALWANDI MANGE KHAN","Payment Success","100000"
"2639","Rajasthan","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18298/2025-2026/254941","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","14-May-2026","JHALANI MOTORS","Payment Success","91889"
"2640","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","RAJEEV BAHUGUNA","Payment Success","4740"
"2641","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","RAJEEV BAHUGUNA","Payment Success","6399"
"2642","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","RAHUL BHAUGUNA","Payment Success","6399"
"2643","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","RAHUL BHAUGUNA","Payment Success","4740"
"2644","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","PREM KUMAR","Payment Success","4740"
"2645","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","PREM KUMAR","Payment Success","6399"
"2646","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","SAPANA JOSHI","Payment Success","6399"
"2647","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","SAPANA JOSHI","Payment Success","4740"
"2648","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","DEEPAK PRASAD","Payment Success","6399"
"2649","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","DEEPAK PRASAD","Payment Success","4740"
"2650","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP131/2025-2026/195649","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","25-Mar-2026","MAHENDRA KUMAR AMAT","Payment Success","400000"
"2651","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","RAMOLA WEALDING CENTER","Payment Success","78222"
"2652","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","RAMOLA WEALDING CENTER","Payment Success","28309"
"2653","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18292/2026-2027/185848","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","22-Apr-2026","VILAYAT KHAN KARIM KHAN","Payment Success","1488686"
"2654","Maharashtra","Providing drains and gutters for public drainage","WS/MP18292/2026-2027/185853","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","22-Apr-2026","VILAYAT KHAN KARIM KHAN","Payment Success","496561"
"2655","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18373/2025-2026/232102","PRAKASAM(DISTRICT COLLECTOR PRAKASAM_IDA)","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","26-Mar-2026","NOMINEE WORKS COMMITTEE BOYAMADUGULA","Payment Success","499884"
"2656","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18373/2025-2026/232101","PRAKASAM(DISTRICT COLLECTOR PRAKASAM_IDA)","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","26-Mar-2026","NOMINEE WORKS COMMITTEE BOYAMADUGULA","Payment Success","499884"
"2657","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18373/2026-2027/261352","PRAKASAM(DISTRICT COLLECTOR PRAKASAM_IDA)","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","16-Jun-2026","NOMINEE WORKS COMMITTEE BOYAMADUGULA","Payment Success","499677"
"2658","Uttar Pradesh","Construction of footpaths and pedestrian ways","WS/MP203/2025-2026/236387","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","Smt. Darshana Singh (2022-28) (2022-2028)","Elected MP","01-Apr-2026","ARYA INDUSTRIES","Payment Success","594716"
"2659","Uttar Pradesh","Construction of footpaths and pedestrian ways","WS/MP203/2025-2026/236387","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","Smt. Darshana Singh (2022-28) (2022-2028)","Elected MP","18-Jun-2026","ARYA INDUSTRIES","Payment Success","393663"
"2660","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18292/2026-2027/237852","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","29-May-2026","MAHESH VINOD gANDEWAR","Payment Success","995282"
"2661","Himachal Pradesh","Purchase of smart boards, visual display units and projectors","WS/MP078/2026-2027/287239","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","29-Aug-2026","HPSEDC LTD","Payment Success","492655"
"2662","Maharashtra","Street lights","WS/MP116/2026-2027/176106","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Shri Sanjay Raut (2022-28) (2022-2028)","Elected MP","20-May-2026","ROYAL ELECTRICALS AND ELEVATORS","Payment Success","929010"
"2663","Haryana","Construction of community centers and community halls","WS/MP18402/2025-2026/227162","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","25-Mar-2026","Baljinder Singh JE","Payment Success","14196"
"2664","Haryana","Construction of community centers and community halls","WS/MP18402/2025-2026/227162","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","04-May-2026","Baljinder Singh JE","Payment Success","14196"
"2665","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP106/2025-2026/269201","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","25-Mar-2026","Karariya","Payment Success","280000"
"2666","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP106/2025-2026/269201","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","25-Jun-2026","Karariya","Payment Success","120000"
"2667","Odisha","Street lights","WS/MP138/2025-2026/213920","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","25-Mar-2026","CHINMAYEE SAHOO","Payment Success","210000"
"2668","Kerala","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP096/2025-2026/243720","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","21-May-2026","Auro Biotechnologies Pvt Ltd","Payment Success","2000"
"2669","Kerala","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP096/2025-2026/243720","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","21-May-2026","The Digital Hub","Payment Success","63390"
"2670","Kerala","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP096/2025-2026/243720","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","21-May-2026","The Digital Hub","Payment Success","15570"
"2671","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/244993","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","01-Apr-2026","G K Construction","Payment Success","125000"
"2672","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/244995","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","01-Apr-2026","G K Construction","Payment Success","50000"
"2673","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/244994","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","01-Apr-2026","G K Construction","Payment Success","50000"
"2674","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/244998","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","01-Apr-2026","G K Construction","Payment Success","1155448"
"2675","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/244997","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","01-Apr-2026","G K Construction","Payment Success","59000"
"2676","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/244996","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","01-Apr-2026","G K Construction","Payment Success","50000"
"2677","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/244109","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","01-Apr-2026","G K Construction","Payment Success","400000"
"2678","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/244107","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","01-Apr-2026","G K Construction","Payment Success","600000"
"2679","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/277158","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-May-2026","Bajaj Enterprises","Payment Success","30150"
"2680","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274835","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Apr-2026","Bajaj Enterprises","Payment Success","39000"
"2681","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274835","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Apr-2026","Bajaj Enterprises","Payment Success","35000"
"2682","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274835","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Apr-2026","Bajaj Enterprises","Payment Success","42900"
"2683","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274835","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Apr-2026","Bajaj Enterprises","Payment Success","39000"
"2684","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274835","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Apr-2026","Bajaj Enterprises","Payment Success","39000"
"2685","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274835","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Apr-2026","Bajaj Enterprises","Payment Success","35000"
"2686","Punjab","Installation of multi-gym equipment","WS/MP235/2025-2026/268741","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","03-Apr-2026","AS Sports Trophies and Gift","Payment Success","300000"
"2687","Punjab","Construction of buildings for sports facilities","WS/MP235/2025-2026/268747","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","02-Apr-2026","AS Sports Trophies and Gift","Payment Success","400000"
"2688","Punjab","Construction of buildings for sports facilities","WS/MP235/2025-2026/268747","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","02-Apr-2026","Darshan Singh","Payment Success","125000"
"2689","Punjab","Construction of bus-sheds or bus-stops","WS/MP235/2025-2026/268748","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","02-Apr-2026","Darshan Singh","Payment Success","88425"
"2690","Punjab","Construction of buildings for sports facilities","WS/MP235/2025-2026/268747","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","02-Apr-2026","JMD Tile and sanitation","Payment Success","14000"
"2691","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2025-2026/262270","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","02-Apr-2026","SHREE KRISHNA ENTERPRISES","Payment Success","80001"
"2692","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2025-2026/262270","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","02-Apr-2026","JEEVAN KUMAR PATEL","Payment Success","79997"
"2693","Karnataka","Construction of rooms and halls in school and colleges","WS/MP838/2025-2026/266550","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","20-Jun-2026","B RAGHAVENDRA GOWDA","Payment Success","499353"
"2694","Punjab","Installing tube-wells and borewells","WS/MP844/2025-2026/238954","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","10-Apr-2026","MS Dashmesh Engineers","Payment Success","2314839"
"2695","Uttarakhand","Construction of boundary walls of existing public and community buildings","WS/MP204/2025-2026/178555","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","21-Jul-2026","Mamtesh Singh","Payment Success","450843"
"2696","Uttarakhand","Construction of boundary walls of existing public and community buildings","WS/MP204/2025-2026/178553","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","04-Apr-2026","Mamtesh Singh","Payment Success","551284"
"2697","Gujarat","Purchase of non-conventional energy system and devices for community use","WS/MP18403/2025-2026/219801","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","04-Apr-2026","JALESHWAR GREEN ENERGY","Payment Success","495000"
"2698","Karnataka","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP838/2025-2026/197841","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","13-May-2026","K Jayaraj Saliyan","Payment Success","299550"
"2699","Punjab","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP235/2025-2026/241414","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","08-May-2026","Neelam Marbles","Payment Success","51000"
